epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1739.79,0.8518,0.54664,1.10985,0.90056,0.82808,0.88179,0.612,0.83753,0.72093,1.01764,0.005842,0.005842,0.005842
44,813.261,0.7773,0.49,1.07143,0.89712,0.8332,0.88279,0.6113,0.83768,0.717,1.01937,0.005743,0.005743,0.005743
45,1437.58,0.83684,0.53896,1.10208,0.89372,0.83772,0.88285,0.61275,0.83619,0.70775,1.01822,0.005644,0.005644,0.005644
46,2068.26,0.84253,0.54182,1.1056,0.89426,0.83966,0.88211,0.61323,0.83656,0.70674,1.019,0.005545,0.005545,0.005545
47,626.92,0.7419,0.46613,1.05133,0.89216,0.84079,0.88247,0.61294,0.83746,0.69822,1.02136,0.005446,0.005446,0.005446
48,1258.04,0.81667,0.5197,1.09114,0.89944,0.83191,0.88258,0.61333,0.83612,0.69315,1.02087,0.005347,0.005347,0.005347
49,1889.2,0.82516,0.52937,1.09564,0.89468,0.83674,0.88194,0.61409,0.83543,0.69076,1.02067,0.005248,0.005248,0.005248
50,2517.01,0.82821,0.53071,1.09518,0.89382,0.83919,0.88123,0.61396,0.83418,0.68774,1.02073,0.005149,0.005149,0.005149
51,3144.03,0.81897,0.52258,1.09125,0.89591,0.83772,0.88124,0.61434,0.83447,0.6836,1.02005,0.00505,0.00505,0.00505
52,3771.63,0.81713,0.52456,1.08962,0.89548,0.83967,0.88138,0.6152,0.83469,0.67474,1.02035,0.004951,0.004951,0.004951
53,4399.72,0.81295,0.52382,1.08664,0.90013,0.83596,0.88217,0.61535,0.83492,0.67345,1.02047,0.004852,0.004852,0.004852
54,5026.66,0.811,0.51845,1.081,0.89784,0.8364,0.88404,0.61641,0.8345,0.67452,1.02031,0.004753,0.004753,0.004753
55,5652.88,0.8026,0.50942,1.07409,0.89755,0.83728,0.88221,0.6164,0.83367,0.67416,1.01928,0.004654,0.004654,0.004654
56,6276.2,0.80387,0.51252,1.07869,0.89865,0.83985,0.88239,0.61624,0.83257,0.6741,1.01909,0.004555,0.004555,0.004555
57,6901.39,0.79838,0.50788,1.07414,0.89934,0.84309,0.88112,0.61605,0.83161,0.67025,1.01779,0.004456,0.004456,0.004456
58,7525.81,0.78438,0.49584,1.06472,0.89469,0.84222,0.88185,0.61609,0.8312,0.66751,1.01801,0.004357,0.004357,0.004357
59,8151.18,0.7803,0.49564,1.05947,0.8946,0.84221,0.88174,0.61646,0.83026,0.66471,1.01768,0.004258,0.004258,0.004258
60,8778.18,0.76923,0.48923,1.05681,0.88902,0.84569,0.88058,0.61698,0.82925,0.66309,1.01691,0.004159,0.004159,0.004159
61,9405.69,0.75991,0.47746,1.04979,0.89501,0.84128,0.88236,0.61852,0.82823,0.66173,1.01648,0.00406,0.00406,0.00406
62,10034,0.74858,0.47719,1.0471,0.89145,0.84254,0.87975,0.61788,0.82766,0.66497,1.01617,0.003961,0.003961,0.003961
63,10661.8,0.74691,0.47372,1.04597,0.88709,0.84651,0.88256,0.61855,0.82647,0.66506,1.0155,0.003862,0.003862,0.003862
64,11289.6,0.73499,0.46231,1.03662,0.89294,0.84266,0.88288,0.61906,0.82597,0.66128,1.01545,0.003763,0.003763,0.003763
65,11919.4,0.72749,0.46099,1.03548,0.89614,0.8404,0.88119,0.61844,0.82471,0.65709,1.01544,0.003664,0.003664,0.003664
66,12547.7,0.72253,0.45616,1.03251,0.89517,0.8429,0.8814,0.61895,0.82421,0.65258,1.01597,0.003565,0.003565,0.003565
67,13176.1,0.71875,0.45204,1.03219,0.89845,0.84337,0.88353,0.61912,0.82308,0.64901,1.01579,0.003466,0.003466,0.003466
68,686.526,0.64214,0.39172,0.99857,0.89844,0.84182,0.88305,0.61942,0.82254,0.64664,1.01611,0.003367,0.003367,0.003367
69,1374.99,0.68842,0.42076,1.01949,0.89627,0.84363,0.88336,0.61881,0.82284,0.64011,1.01725,0.003268,0.003268,0.003268
70,2065.64,0.69304,0.42554,1.01984,0.89367,0.84504,0.88128,0.61852,0.82293,0.64125,1.01824,0.003169,0.003169,0.003169
71,2756.51,0.69232,0.4272,1.01831,0.90015,0.83928,0.88148,0.61879,0.82314,0.63986,1.01919,0.00307,0.00307,0.00307
72,3447.5,0.68523,0.41957,1.01357,0.90414,0.83855,0.88158,0.61922,0.82292,0.64246,1.01935,0.002971,0.002971,0.002971
73,4139.4,0.6828,0.42179,1.01612,0.90354,0.84029,0.88196,0.61925,0.82255,0.646,1.01985,0.002872,0.002872,0.002872
