epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7357.64,1.0498,0.71316,1.25911,0.86432,0.82128,0.86826,0.56147,0.95875,0.6355,1.12484,0.000828443,0.000828443,0.000828443
43,7945.74,1.05903,0.72333,1.26505,0.87447,0.81617,0.8698,0.56073,0.95775,0.63678,1.12245,0.000820525,0.000820525,0.000820525
44,8536.63,1.04368,0.71252,1.25306,0.86935,0.82027,0.86857,0.56183,0.95828,0.63515,1.12308,0.000812468,0.000812468,0.000812468
45,9125.42,1.03129,0.69562,1.24407,0.86964,0.82148,0.86972,0.56196,0.95909,0.63514,1.12415,0.000804277,0.000804277,0.000804277
46,9713.98,1.01624,0.68764,1.23456,0.87423,0.81595,0.86887,0.56256,0.9585,0.63736,1.12376,0.000795954,0.000795954,0.000795954
47,10304.8,1.01296,0.68439,1.23474,0.87834,0.81389,0.8688,0.56295,0.95832,0.63241,1.12464,0.000787503,0.000787503,0.000787503
48,10893.3,1.00193,0.67083,1.22561,0.87756,0.81703,0.8704,0.56255,0.95935,0.63283,1.12555,0.000778929,0.000778929,0.000778929
49,613.502,0.96522,0.63863,1.20837,0.87804,0.8163,0.871,0.56339,0.95772,0.6337,1.12537,0.000770234,0.000770234,0.000770234
50,1254.39,0.98265,0.65921,1.22176,0.88172,0.81391,0.87118,0.5617,0.95856,0.63134,1.12674,0.000761423,0.000761423,0.000761423
51,1899.23,0.97873,0.64444,1.21453,0.88445,0.81347,0.87225,0.56139,0.95978,0.63146,1.12927,0.0007525,0.0007525,0.0007525
52,2542.9,0.96856,0.64265,1.20738,0.88374,0.81493,0.8712,0.56296,0.95992,0.63179,1.13117,0.000743468,0.000743468,0.000743468
53,3186.73,0.95816,0.63067,1.19932,0.88323,0.81433,0.8712,0.56136,0.96098,0.6319,1.13339,0.000734332,0.000734332,0.000734332
54,3830.85,0.95419,0.6292,1.20015,0.88027,0.81687,0.86927,0.56242,0.96166,0.63218,1.13461,0.000725094,0.000725094,0.000725094
55,4475.21,0.9456,0.6203,1.18987,0.88123,0.81516,0.86796,0.56168,0.96128,0.62907,1.13531,0.000715761,0.000715761,0.000715761
56,5119.69,0.9461,0.62127,1.19395,0.88497,0.81756,0.87039,0.56125,0.96028,0.62406,1.13517,0.000706335,0.000706335,0.000706335
57,5764.69,0.93605,0.60965,1.18276,0.88048,0.81755,0.87025,0.56145,0.96023,0.6202,1.13593,0.00069682,0.00069682,0.00069682
58,6409.6,0.93102,0.61269,1.18093,0.88101,0.81649,0.86695,0.56042,0.96051,0.61789,1.13796,0.000687222,0.000687222,0.000687222
59,7054.23,0.92605,0.60345,1.17593,0.88626,0.81505,0.8666,0.55958,0.96025,0.61621,1.13834,0.000677543,0.000677543,0.000677543
60,7697.9,0.93088,0.60462,1.17817,0.88412,0.81522,0.86635,0.56069,0.96056,0.61399,1.13882,0.000667789,0.000667789,0.000667789
61,8341.37,0.9404,0.60587,1.18426,0.8882,0.81236,0.86423,0.56041,0.96064,0.61187,1.13906,0.000657963,0.000657963,0.000657963
62,8985.18,0.9296,0.60143,1.17741,0.88572,0.81236,0.86534,0.55997,0.96097,0.61,1.13934,0.000648071,0.000648071,0.000648071
63,24011.2,0.9232,0.59599,1.16718,0.87962,0.81144,0.86314,0.55954,0.96063,0.60889,1.13908,0.000638115,0.000638115,0.000638115
64,24655.8,0.91576,0.59354,1.16678,0.88448,0.8113,0.86361,0.55854,0.96103,0.60662,1.14021,0.000628101,0.000628101,0.000628101
65,25301.6,0.91806,0.59336,1.16831,0.88502,0.80866,0.86328,0.55726,0.96142,0.60436,1.14102,0.000618034,0.000618034,0.000618034
66,580.621,0.86739,0.55606,1.1476,0.88821,0.81022,0.86591,0.55735,0.96087,0.60406,1.14038,0.000607916,0.000607916,0.000607916
67,1162.48,0.88537,0.57239,1.16174,0.88146,0.80999,0.86293,0.55614,0.96113,0.60347,1.14118,0.000597754,0.000597754,0.000597754
68,1749.78,0.88846,0.5652,1.15866,0.89067,0.80552,0.86554,0.55565,0.96106,0.60293,1.14078,0.000587551,0.000587551,0.000587551
69,2339.53,0.88738,0.5732,1.15683,0.89153,0.80511,0.86428,0.55482,0.9612,0.59983,1.14173,0.000577311,0.000577311,0.000577311
70,2926.01,0.8817,0.56267,1.14969,0.89,0.80841,0.86369,0.55427,0.96079,0.59775,1.14268,0.00056704,0.00056704,0.00056704
71,3511.52,0.87142,0.55852,1.14678,0.88977,0.80583,0.86102,0.55488,0.96009,0.59598,1.14315,0.000556742,0.000556742,0.000556742
72,4096.79,0.87098,0.5593,1.1461,0.89387,0.79972,0.86135,0.5542,0.95987,0.59347,1.14402,0.000546421,0.000546421,0.000546421
73,4682.94,0.86836,0.5547,1.14417,0.89406,0.7996,0.86322,0.55556,0.95964,0.59247,1.14511,0.000536081,0.000536081,0.000536081
74,5266.04,0.86232,0.5461,1.13767,0.89137,0.8005,0.86119,0.55583,0.9584,0.5903,1.14507,0.000525728,0.000525728,0.000525728
75,5851.77,0.86195,0.54606,1.1389,0.8876,0.80002,0.86132,0.55602,0.95788,0.58875,1.14591,0.000515366,0.000515366,0.000515366
76,6440.08,0.8568,0.54394,1.1338,0.88727,0.80217,0.86113,0.55586,0.95761,0.58723,1.14674,0.000505,0.000505,0.000505
77,7026.71,0.86187,0.54856,1.13565,0.87595,0.80961,0.86054,0.55548,0.95919,0.58898,1.14912,0.000494634,0.000494634,0.000494634
78,7612.68,0.86987,0.54683,1.14061,0.87633,0.80928,0.86033,0.55576,0.95955,0.58772,1.15018,0.000484272,0.000484272,0.000484272
79,8199.54,0.86884,0.55385,1.14074,0.87699,0.81052,0.86047,0.55533,0.96094,0.58844,1.15262,0.000473919,0.000473919,0.000473919
80,8786.16,0.86372,0.54707,1.13304,0.88127,0.80763,0.8589,0.55564,0.96128,0.58792,1.15405,0.000463579,0.000463579,0.000463579
81,9373.99,0.85849,0.54735,1.12934,0.88071,0.80371,0.85811,0.55406,0.96215,0.58579,1.15569,0.000453258,0.000453258,0.000453258
82,9961.72,0.85952,0.54643,1.13401,0.88036,0.80391,0.85821,0.5547,0.96342,0.58442,1.15785,0.00044296,0.00044296,0.00044296
83,10550.4,0.85218,0.54027,1.12903,0.87691,0.8098,0.85803,0.55445,0.96449,0.58459,1.15943,0.000432689,0.000432689,0.000432689
84,11137.5,0.85382,0.53843,1.12613,0.87659,0.80777,0.85723,0.55387,0.96349,0.58485,1.15893,0.000422449,0.000422449,0.000422449
85,11726.5,0.85375,0.53817,1.1247,0.86979,0.8108,0.85729,0.55415,0.96451,0.58441,1.16028,0.000412246,0.000412246,0.000412246
86,12314.1,0.84254,0.52979,1.11837,0.87067,0.80988,0.85675,0.55295,0.96446,0.58434,1.16099,0.000402084,0.000402084,0.000402084
87,12899.8,0.83357,0.52226,1.11469,0.87878,0.80094,0.85681,0.55403,0.96465,0.58363,1.16209,0.000391966,0.000391966,0.000391966
88,13487.5,0.83075,0.52623,1.11209,0.87464,0.8058,0.85513,0.55178,0.96519,0.58097,1.16339,0.000381899,0.000381899,0.000381899
89,14075.2,0.82524,0.51696,1.10678,0.87031,0.80602,0.85532,0.55245,0.96619,0.57888,1.16412,0.000371885,0.000371885,0.000371885
90,14661.4,0.82126,0.51386,1.10747,0.88246,0.79775,0.85532,0.55141,0.96599,0.57762,1.16449,0.000361929,0.000361929,0.000361929
91,15249.8,0.81332,0.5067,1.10252,0.88489,0.79713,0.85555,0.55211,0.96651,0.57824,1.1659,0.000352037,0.000352037,0.000352037
92,15837.7,0.80527,0.50641,1.09695,0.88758,0.79214,0.85448,0.55092,0.96872,0.57814,1.16859,0.000342211,0.000342211,0.000342211
93,16424.7,0.80355,0.50096,1.09295,0.88839,0.79356,0.85375,0.55038,0.97109,0.57751,1.17223,0.000332457,0.000332457,0.000332457
94,17012.3,0.79429,0.49304,1.08807,0.89038,0.79502,0.85471,0.55048,0.97234,0.57524,1.17416,0.000322778,0.000322778,0.000322778
95,17600.4,0.7887,0.49118,1.08558,0.88581,0.7983,0.85498,0.55092,0.97373,0.5728,1.17655,0.00031318,0.00031318,0.00031318
96,18188.2,0.78112,0.48505,1.08215,0.88601,0.79724,0.85474,0.55186,0.97484,0.56809,1.17892,0.000303665,0.000303665,0.000303665
